"","result.1","result.2","result.3","result.4","result.5"
"method","DEoptim","random","pso","GenSA","mco"
"time","24.71","122.3","70.05","109.45","51.9"
"Ratio","0.02","0.02","0.01","0.01","0.05"
"JEC","0","0","0.2","0.07","0"
"AXL","0","0","0.17","0.02","0"
"SCI","0.15","0.18","0.12","0.16","0.4"
"AUO","0.29","0.31","0.17","0.18","0.25"
"DGX","0","0","0.06","0.14","0"
"BDX","0","0","0.03","0.12","0.05"
"FTAI","0","0","0.06","0.06","0"
"KFS","0","0","0.01","0.08","0"
"EMD","0.46","0.39","0.1","0.07","0.26"
"TFX","0","0","0.13","0.15","0.08"
"group1","0.152","0.176","0.375746763694189","0.368496290879771","0.399999551193527"
"group2","0.292","0.308","0.337528120614519","0.205185719429135","0.250000000411196"
"group3","0.292","0.308","0.397292021422911","0.342140555238873","0.25000000072807"
"group4","0.152","0.176","0.315982862885797","0.231541455070032","0.399999550876653"
"SSum","0.316304","0.274836","0.146819897170466","0.13521065505826","0.301506580901603"
"Sum","0.9","0.87","1.05","1.05","1.04999999945098"
