Index,ASPECT,BHDG,CAMPBELL,CRABEL,EVESPREAD,FORT,H2O,MOODY,QIM,QUANT,QUANTICA,QUEST
1/1/2014,-0.0094,-0.0457,-0.0236,0.0674,-0.0492,0.0019,0.0014,-0.0024,0.0099,-0.0097,-0.033,-0.0088
2/1/2014,-0.0307,-0.0031,-0.0444,-0.0349,-0.0038,0.0161,-0.0055,-0.013,0.0043,0.0301,0.037,0.046
3/1/2014,-0.027,-0.0233,-0.0355,0.0079,0.0137,-0.0022,0.0278,-0.0091,-0.0243,0.0257,0.002,-0.0554
4/1/2014,-0.0062,-0.0083,0.0016,-0.0214,0.0318,0.0078,0.0102,0.0019,-0.049,-0.0074,0.005,-0.0273
5/1/2014,0.023,0.0315,0.0259,0.0153,-0.0177,0.0305,0.0035,-0.0087,-0.0036,0.0181,0.013,0.0411
6/1/2014,0.003,0.0134,0.0254,0.0086,-0.0095,0.0059,-0.0338,-0.0056,-0.0013,0.0169,0.021,0.0377
7/1/2014,-0.0065,-0.011,-1.00E-04,0.0048,0.0637,-0.0038,0.0358,-0.0018,-0.0075,0.001,-0.005,-0.0102
8/1/2014,0.0312,0.0379,0.0669,0.0117,-0.0159,0.0319,-0.005,0.0056,-0.0139,0.0199,0.019,0.0355
9/1/2014,0.0312,0.0263,0.0569,0.0145,-0.0041,-0.0165,0.0824,-0.0045,0.0261,-0.0097,0.003,0.0056
10/1/2014,-0.0126,0.0063,0.0164,-0.0048,0.0153,0.0233,-0.0374,0.0012,-0.0288,0.0124,0.009,0.0391
11/1/2014,0.0303,0.0745,0.064,0.0179,-0.0035,0.0259,0.0107,0.0111,-9.00E-04,0.021,0.049,0.0794
12/1/2014,0.0278,0.01,0.0368,0.0065,-0.0846,-0.0024,0.001,0.0072,-0.039,0.0399,0.018,0.0168
1/1/2015,0.0312,0.0773,0.0525,-5.00E-04,0.0191,0.0264,0.0441,0.0023,-0.0018,0.0142,0.034,0.09
2/1/2015,-0.0064,0.0027,-0.0027,-0.0022,-0.0197,-0.0016,0.0541,0.0376,0.0227,0.0345,-0.011,-0.0118
3/1/2015,0.023,0.0102,0.028,0.0156,0.0603,0.007,0.0098,-0.0191,-0.0142,-0.0113,0.012,0.0076
4/1/2015,-0.0405,-0.05,-0.0403,-0.0075,0.0632,-0.0198,-0.0158,-0.0151,0.0507,-0.0346,-0.029,-0.0356
5/1/2015,0.0019,0.0032,-0.009,0.0117,0.0086,0.0128,0.0316,-0.0088,0.0073,0.0234,-0.001,-0.0216
6/1/2015,-0.0234,-0.0406,-0.0927,-0.0345,-0.0023,-0.0234,-0.0264,-0.0042,0.0395,-0.0075,-0.04,-0.0597
7/1/2015,0.0298,0.0213,0.0321,0.0103,-0.0055,0.0135,0.0676,0.0118,-0.0146,0.0148,-0.008,0.0089
8/1/2015,-0.0121,-0.0282,-0.0025,-0.0545,0.014,-0.0443,-0.017,-0.0106,0.0317,-0.0494,-0.089,-0.0451
9/1/2015,0.0113,0.0164,0.0106,0.0215,-0.0532,0.0358,-0.0121,-0.0039,0.046,-0.0129,0.03,0.0384
10/1/2015,-0.0131,-0.0397,-0.0127,0.0019,-0.0171,0.0113,0.0432,-0.0034,0.0023,-0.0111,-0.018,-0.0409
11/1/2015,0.018,0.0485,0.0523,0.0288,0.0248,0.0065,0.0409,0.0267,0.0407,-0.0012,-0.007,0.0372
12/1/2015,-0.0076,-0.0274,-0.036,0.0031,-0.0261,-0.0343,-0.0438,-0.0019,-0.0162,-0.0024,-0.033,-0.0411
1/1/2016,0.0267,0.0661,0.0268,0.0296,0.0713,0.0059,-0.0332,0.0048,0.0259,0.0013,0.059,0.0581
2/1/2016,0.0135,0.039,0.0109,0.0351,-0.0136,0.0378,-0.0644,-0.0101,0.0616,-0.0348,0.029,0.0539
3/1/2016,-0.0408,-0.0356,-0.0356,0.0091,0.025,-0.0339,-0.0233,-0.0048,-0.0298,0.0059,-0.028,-0.0543
4/1/2016,-0.0307,-0.0268,-0.0554,0.0177,0.0012,-0.0253,-7.00E-04,-0.0058,0.0015,-0.0128,0.007,-0.0195
5/1/2016,-0.0041,-0.0376,-0.0138,0.0026,-0.014,0.0133,0.0464,-0.0037,0.0159,0.0019,-0.007,-0.0307
6/1/2016,0.0337,0.0504,0.0417,0.0247,0.0286,0.0499,-0.1101,-0.0152,0.0083,-0.0234,0.06,0.0211
7/1/2016,0.0079,0.012,0.0396,0.0023,0.0368,0.0115,0.0323,0.011,0.0014,-0.0098,0.001,0.0226
8/1/2016,-0.0148,-0.0215,-0.0455,-0.0395,-0.0011,-0.0087,0.051,0.0017,0.0062,-0.0037,-0.027,-0.0516
9/1/2016,-0.002,-0.0049,-0.0292,-0.0097,-0.0022,0.012,-0.0268,0.0163,0.0193,-0.0067,0.005,-0.0434
10/1/2016,-0.027,-0.0416,-0.0262,-0.027,0.0046,-0.0342,0.0829,-0.0132,-0.0126,-0.0029,-0.036,-0.0448
11/1/2016,-0.0062,0.0135,-0.0184,-0.0141,0.0161,-0.0274,0.0075,0.0057,0.0251,9.00E-04,-0.008,0.0154
12/1/2016,0.003,0.0226,0.0046,0.0196,-0.0125,0.0109,0.0306,-0.0026,0.0355,0.0037,0.025,0.0228
1/1/2017,-0.0084,-0.0139,-0.0264,-0.038,0.0342,-0.0057,-0.0332,-0.0015,0.0323,-0.0043,-0.01,-0.0319
2/1/2017,0.0126,0.0259,0.0434,-0.022,0.0011,0.044,-0.0085,-0.0014,0.0104,0.0146,0.043,-0.0135
3/1/2017,-0.0094,-0.0311,-0.016,0.0092,0.0056,-0.004,0.0523,0.0205,0.0098,0.0041,0.001,-0.0319
4/1/2017,-0.0126,-7.00E-04,0.0152,-0.0103,0.0087,0.0107,0.0095,-0.0099,-0.001,0.0037,0.017,-0.0018
5/1/2017,-0.0064,0.0026,-0.0034,-7.00E-04,-0.0021,0.0089,0.0103,-0.0158,-5.00E-04,0.0167,0.023,-0.0054
6/1/2017,-0.0214,-0.0219,-0.0514,0.0098,0.0017,-0.036,0.0104,0.0203,0.0018,-0.0278,-0.041,-0.0017
7/1/2017,0.0264,0.0396,0.0255,0.0128,-0.0065,0.0132,-0.0031,0.0172,0.0012,-0.001,0.006,0.0108
8/1/2017,0.0149,0.0117,0.0066,-0.0032,-0.007,0.0272,-0.0026,0.0223,-0.0291,0.0022,0.027,0.0178
9/1/2017,-0.0263,-0.0103,-0.0131,0.014,-0.0449,-0.0293,0.0262,-0.0074,0.0297,-0.0152,-0.037,-0.0228
10/1/2017,0.0475,0.0325,0.0612,0.0194,3.00E-04,0.0302,0.0322,-0.0082,0.024,-0.0083,0.049,0.0457
11/1/2017,0.0124,0.0053,0.0056,-0.0181,-0.0149,-0.003,-0.0117,0.0111,-0.0158,0.0033,0.021,-3.00E-04
12/1/2017,-0.0092,0.0218,0.0078,0.0052,0.0029,0.0104,-0.0448,-0.004,0.0104,-0.0079,0.009,0.0035
1/1/2018,0.0606,0.076,0.0629,0.0898,-0.0119,-0.0027,0.0032,0.0412,-0.0135,-0.0043,0.048,0.0731
2/1/2018,-0.0842,-0.0692,-0.1031,-0.0231,0.0054,-0.0275,0.0272,-5.00E-04,-0.0687,0.0237,-0.04,-0.0694
3/1/2018,-0.0063,-0.0057,0.0141,0.0024,0.0182,0.0067,0.009,0.0075,0.0134,-0.0205,-0.014,-0.016
4/1/2018,0.0074,-0.0182,-0.0016,0.0133,0.0049,0.0059,0.0501,-0.0128,0.0094,-0.0082,0.001,0.0072
5/1/2018,-0.0465,0.0129,-0.0418,0.0057,-0.0036,0.0044,-0.0871,-0.0031,0.0355,-5.00E-04,-0.027,-0.0294
6/1/2018,0.0144,-0.0012,0.0313,-0.0039,0.002,0.0114,0.0495,-0.0017,0.008,-0.0075,0.012,0.007
7/1/2018,-0.0022,-0.0218,-0.0283,-0.008,0.0047,0.0081,0.0216,0.0286,-0.0294,-0.0011,0.006,-0.0073
8/1/2018,0.012,0.0516,0.03,0.0123,-0.012,-0.0012,-0.1013,-0.0066,0.0143,0.0052,0.029,4.00E-04
9/1/2018,-0.0065,-0.0174,-0.0027,-0.0025,0.0138,-0.0016,0.0527,-3.00E-04,0.0017,0.0027,-0.02,-0.0122
10/1/2018,-0.0544,-0.0319,-0.0426,0.0197,-0.0266,-0.0349,0.0417,0.012,-0.0583,0.0027,-0.073,-0.024
11/1/2018,-0.0242,-0.0125,-0.0037,-0.0043,0.0556,-0.0114,0.002,-0.0079,-0.0058,-0.0026,0.018,0.0109
